game_id,spread
0022500001,6.5
0022500002,-2.5
0022500003,-2.0
0022500004,3.0
0022500080,5.0
0022500081,8.5
0022500082,5.5
0022500083,6.0
0022500084,-2.5
0022500085,4.0
0022500086,10.0
0022500087,-9.5
0022500088,4.0
0022500089,-4.5
0022500005,-7.5
0022500006,2.0
0022500018,3.5
0022500019,-1.5
0022500090,6.0
0022500091,-11.5
0022500092,2.0
0022500093,6.5
0022500094,3.0
0022500095,-4.0
0022500096,9.5
0022500097,-2.5
0022500098,6.0
0022500099,10.0
0022500100,6.0
0022500101,-8.5
0022500102,5.0
0022500103,2.0
0022500104,13.0
0022500105,10.5
0022500106,2.5
0022500107,6.5
0022500108,-3.0
0022500109,1.5
0022500110,12.0
0022500111,-1.0
0022500112,8.0
0022500113,3.5
0022500007,-2.0
0022500008,-6.5
0022500114,-6.5
0022500115,-2.5
0022500116,16.0
0022500117,-4.5
0022500118,4.5
0022500119,-8.5
0022500120,2.0
0022500121,8.0
0022500122,-3.0
0022500123,-4.5
0022500124,4.5
0022500125,-2.0
0022500126,9.0
0022500127,-1.5
0022500128,-3.5
0022500129,-2.0
0022500130,-8.5
0022500131,-5.5
0022500132,4.5
0022500133,6.0
0022500134,11.5
0022500135,-3.0
0022500136,7.5
0022500137,-2.0
0022500138,-3.5
0022500139,-7.5
0022500140,15.5
0022500141,5.5
0022500020,-2.0
0022500021,-2.0
0022500022,4.5
0022500023,-5.0
0022500024,-2.0
0022500025,3.0
0022500026,-5.5
0022500027,11.0
0022500142,6.5
0022500143,-4.5
0022500144,-11.0
0022500145,-9.0
0022500146,-4.5
0022500147,7.5
0022500148,13.0
0022500149,-4.5
0022500150,-1.5
0022500151,6.5
0022500152,4.5
0022500153,7.5
0022500154,-5.0
0022500155,5.0
0022500156,-9.5
0022500157,-6.0
0022500158,10.5
0022500159,13.0
0022500160,12.5
0022500161,-4.0
0022500162,11.5
0022500163,9.5
0022500164,7.5
0022500165,2.0
0022500166,-3.5
0022500167,2.0
0022500168,2.5
0022500169,10.5
0022500170,-8.5
0022500171,12.0
0022500172,10.0
0022500173,6.5
0022500174,13.0
0022500175,3.5
0022500176,-7.5
0022500177,8.5
0022500178,9.0
0022500179,-2.0
0022500180,-3.5
0022500181,3.0
0022500182,2.5
0022500028,3.5
0022500029,-13.5
0022500030,2.5
0022500031,-10.5
0022500032,-4.0
0022500033,7.0
0022500034,4.0
0022500035,4.5
0022500036,12.5
0022500037,9.5
0022500038,-11.5
0022500183,-4.5
0022500184,5.0
0022500185,-5.0
0022500186,8.5
0022500187,-3.5
0022500188,11.0
0022500189,9.0
0022500190,4.5
0022500191,-4.0
0022500192,15.5
0022500193,4.0
0022500194,-10.5
0022500195,-4.5
0022500196,13.0
0022500197,-4.5
0022500198,-8.5
0022500199,11.0
0022500200,2.0
0022500201,-7.5
0022500202,-5.0
0022500203,-3.5
0022500204,8.5
0022500205,-7.5
0022500206,4.5
0022500207,-9.5
0022500208,10.0
0022500209,-1.5
0022500210,8.5
0022500211,-2.0
0022500212,-8.0
0022500213,-2.5
0022500214,-2.5
0022500215,4.0
0022500216,8.5
0022500217,4.5
0022500218,17.0
0022500219,-8.0
0022500220,3.5
0022500221,-2.0
0022500222,8.0
0022500223,-4.0
0022500224,-4.5
0022500225,7.5
0022500226,3.5
0022500227,-1.5
0022500039,6.5
0022500040,14.5
0022500041,1.0
0022500042,7.5
0022500043,9.0
0022500044,11.5
0022500045,-9.5
0022500046,-3.0
0022500047,2.5
0022500228,10.5
0022500229,-17.0
0022500230,-6.0
0022500231,2.0
0022500232,-1.0
0022500233,5.0
0022500234,7.0
0022500235,3.0
0022500236,7.5
0022500237,-10.5
0022500238,-4.0
0022500239,1.5
0022500240,-4.5
0022500241,6.0
0022500242,8.5
0022500243,5.5
0022500244,1.0
0022500245,7.5
0022500246,14.0
0022500247,-18.5
0022500248,12.5
0022500249,-2.5
0022500250,-11.0
0022500251,-1.5
0022500252,6.0
0022500253,13.0
0022500254,2.0
0022500255,-1.5
0022500256,-2.0
0022500257,10.5
0022500258,-2.0
0022500260,-10.5
0022500261,18.5
0022500259,16.0
0022500262,-8.5
0022500263,-3.5
0022500264,6.5
0022500265,3.0
0022500266,-1.5
0022500267,1.0
0022500048,14.0
0022500049,14.0
0022500050,14.0
0022500051,2.5
0022500052,3.5
0022500053,-4.5
0022500054,3.0
