team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.989,0.008,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,0.624,0.343,0.029,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,0.359,0.534,0.095,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYK,0.015,0.1,0.477,0.227,0.097,0.051,0.024,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEM,0.006,0.216,0.216,0.176,0.128,0.093,0.063,0.039,0.026,0.024,0.011,0.002,0.0,0.0,0.0
HOU,0.002,0.314,0.213,0.165,0.109,0.076,0.042,0.036,0.018,0.015,0.007,0.003,0.0,0.0,0.0
DAL,0.002,0.179,0.192,0.148,0.162,0.122,0.069,0.06,0.043,0.011,0.009,0.003,0.0,0.0,0.0
MIL,0.002,0.002,0.071,0.151,0.177,0.219,0.16,0.105,0.06,0.038,0.015,0.0,0.0,0.0,0.0
DEN,0.001,0.165,0.164,0.181,0.126,0.142,0.085,0.05,0.046,0.021,0.013,0.005,0.001,0.0,0.0
MIN,0.0,0.075,0.114,0.129,0.16,0.142,0.135,0.094,0.063,0.043,0.03,0.014,0.0,0.001,0.0
LAL,0.0,0.017,0.031,0.05,0.074,0.098,0.11,0.145,0.137,0.136,0.114,0.079,0.008,0.001,0.0
IND,0.0,0.015,0.189,0.268,0.198,0.153,0.106,0.047,0.016,0.006,0.001,0.001,0.0,0.0,0.0
SAC,0.0,0.012,0.025,0.046,0.067,0.087,0.147,0.131,0.123,0.14,0.129,0.078,0.014,0.001,0.0
ORL,0.0,0.005,0.086,0.194,0.244,0.17,0.141,0.091,0.04,0.023,0.006,0.0,0.0,0.0,0.0
PHO,0.0,0.005,0.009,0.028,0.043,0.066,0.091,0.104,0.155,0.163,0.142,0.161,0.029,0.003,0.001
LAC,0.0,0.004,0.02,0.037,0.055,0.075,0.1,0.124,0.145,0.141,0.168,0.101,0.027,0.003,0.0
GSW,0.0,0.003,0.013,0.034,0.068,0.073,0.118,0.136,0.141,0.142,0.146,0.103,0.021,0.002,0.0
SAS,0.0,0.002,0.001,0.005,0.008,0.026,0.04,0.077,0.097,0.149,0.2,0.318,0.055,0.014,0.008
MIA,0.0,0.001,0.047,0.099,0.172,0.185,0.174,0.14,0.1,0.048,0.032,0.001,0.001,0.0,0.0
ATL,0.0,0.0,0.002,0.014,0.038,0.071,0.121,0.179,0.195,0.182,0.166,0.031,0.001,0.0,0.0
CHI,0.0,0.0,0.002,0.01,0.022,0.049,0.098,0.142,0.164,0.211,0.252,0.044,0.005,0.001,0.0
DET,0.0,0.0,0.001,0.013,0.022,0.043,0.077,0.131,0.214,0.232,0.228,0.034,0.004,0.001,0.0
PHI,0.0,0.0,0.001,0.011,0.027,0.059,0.098,0.153,0.204,0.232,0.182,0.031,0.002,0.0,0.0
BRK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.005,0.018,0.072,0.461,0.263,0.134,0.043
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.009,0.02,0.086,0.418,0.293,0.166
TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.024,0.167,0.305,0.34,0.159
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.007,0.026,0.252,0.344,0.365
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.004,0.021,0.175,0.338,0.46
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.021,0.191,0.316,0.315,0.15
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.039,0.103,0.209,0.648
