team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CLE,0.491,0.382,0.102,0.016,0.006,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,0.456,0.418,0.104,0.02,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYK,0.046,0.171,0.518,0.155,0.056,0.026,0.015,0.009,0.004,0.0,0.0,0.0,0.0,0.0,0.0
ORL,0.005,0.02,0.124,0.287,0.246,0.141,0.079,0.052,0.03,0.01,0.005,0.001,0.0,0.0,0.0
IND,0.002,0.002,0.067,0.207,0.227,0.189,0.127,0.077,0.058,0.029,0.014,0.001,0.0,0.0,0.0
MIL,0.0,0.003,0.041,0.141,0.15,0.166,0.165,0.137,0.083,0.073,0.027,0.014,0.0,0.0,0.0
MIA,0.0,0.003,0.025,0.09,0.125,0.165,0.17,0.148,0.12,0.096,0.046,0.011,0.001,0.0,0.0
PHI,0.0,0.001,0.008,0.033,0.069,0.126,0.149,0.156,0.167,0.153,0.11,0.025,0.003,0.0,0.0
ATL,0.0,0.0,0.007,0.021,0.054,0.093,0.12,0.151,0.164,0.194,0.139,0.045,0.011,0.001,0.0
DET,0.0,0.0,0.003,0.016,0.029,0.048,0.083,0.136,0.177,0.197,0.211,0.077,0.019,0.004,0.0
CHI,0.0,0.0,0.001,0.014,0.034,0.044,0.086,0.123,0.164,0.185,0.234,0.079,0.03,0.006,0.0
BRK,0.0,0.0,0.0,0.0,0.002,0.0,0.005,0.01,0.027,0.043,0.133,0.396,0.224,0.128,0.032
TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.011,0.04,0.167,0.307,0.288,0.182
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.007,0.035,0.136,0.263,0.341,0.216
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.048,0.142,0.232,0.57
