team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.976,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOU,0.016,0.42,0.246,0.143,0.076,0.056,0.016,0.012,0.008,0.006,0.001,0.0,0.0,0.0,0.0
MEM,0.005,0.28,0.276,0.184,0.106,0.072,0.034,0.018,0.015,0.003,0.007,0.0,0.0,0.0,0.0
DEN,0.002,0.155,0.226,0.191,0.15,0.117,0.078,0.051,0.014,0.013,0.003,0.0,0.0,0.0,0.0
MIN,0.001,0.06,0.112,0.176,0.185,0.168,0.109,0.091,0.048,0.031,0.011,0.008,0.0,0.0,0.0
LAL,0.0,0.022,0.049,0.112,0.118,0.141,0.147,0.152,0.102,0.08,0.051,0.026,0.0,0.0,0.0
LAC,0.0,0.021,0.042,0.081,0.128,0.148,0.146,0.146,0.118,0.086,0.058,0.025,0.001,0.0,0.0
PHO,0.0,0.007,0.011,0.023,0.054,0.073,0.114,0.121,0.17,0.186,0.145,0.08,0.015,0.001,0.0
DAL,0.0,0.006,0.029,0.061,0.118,0.121,0.176,0.157,0.151,0.099,0.052,0.03,0.0,0.0,0.0
SAC,0.0,0.004,0.009,0.019,0.03,0.051,0.087,0.115,0.149,0.203,0.203,0.115,0.015,0.0,0.0
GSW,0.0,0.001,0.0,0.007,0.028,0.046,0.068,0.097,0.144,0.177,0.216,0.186,0.029,0.001,0.0
SAS,0.0,0.0,0.0,0.003,0.007,0.007,0.024,0.037,0.079,0.103,0.216,0.402,0.107,0.014,0.001
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.002,0.013,0.037,0.12,0.68,0.128,0.016
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.121,0.63,0.241
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.226,0.742
