team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.909,0.066,0.019,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DET,0.531,0.218,0.124,0.065,0.038,0.011,0.011,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
NYK,0.245,0.273,0.189,0.153,0.058,0.041,0.022,0.012,0.005,0.001,0.001,0.0,0.0,0.0,0.0
BOS,0.15,0.234,0.207,0.147,0.119,0.061,0.042,0.025,0.013,0.001,0.001,0.0,0.0,0.0,0.0
HOU,0.041,0.337,0.202,0.181,0.126,0.056,0.031,0.017,0.007,0.002,0.0,0.0,0.0,0.0,0.0
CLE,0.031,0.115,0.157,0.174,0.159,0.14,0.098,0.062,0.046,0.014,0.003,0.001,0.0,0.0,0.0
SAS,0.017,0.201,0.203,0.185,0.151,0.106,0.068,0.042,0.017,0.007,0.003,0.0,0.0,0.0,0.0
MIN,0.015,0.14,0.189,0.199,0.188,0.131,0.078,0.037,0.017,0.004,0.002,0.0,0.0,0.0,0.0
DEN,0.014,0.2,0.238,0.193,0.166,0.097,0.058,0.026,0.007,0.001,0.0,0.0,0.0,0.0,0.0
PHI,0.012,0.037,0.055,0.104,0.114,0.125,0.131,0.151,0.141,0.076,0.042,0.009,0.003,0.0,0.0
MIA,0.011,0.032,0.09,0.106,0.149,0.171,0.145,0.117,0.092,0.055,0.025,0.006,0.001,0.0,0.0
ORL,0.01,0.047,0.099,0.105,0.152,0.151,0.178,0.132,0.071,0.039,0.012,0.004,0.0,0.0,0.0
TOR,0.009,0.035,0.065,0.096,0.136,0.154,0.149,0.163,0.108,0.058,0.019,0.007,0.001,0.0,0.0
LAL,0.004,0.038,0.084,0.12,0.153,0.188,0.189,0.109,0.062,0.032,0.015,0.005,0.001,0.0,0.0
ATL,0.001,0.008,0.011,0.038,0.046,0.089,0.128,0.169,0.199,0.193,0.087,0.025,0.006,0.0,0.0
GSW,0.0,0.012,0.023,0.05,0.101,0.177,0.185,0.182,0.132,0.085,0.04,0.013,0.0,0.0,0.0
PHX,0.0,0.004,0.032,0.048,0.067,0.13,0.172,0.186,0.126,0.131,0.076,0.026,0.002,0.0,0.0
MEM,0.0,0.001,0.003,0.007,0.012,0.031,0.07,0.117,0.166,0.209,0.22,0.151,0.011,0.001,0.001
MIL,0.0,0.001,0.002,0.008,0.016,0.036,0.063,0.106,0.17,0.231,0.216,0.111,0.029,0.011,0.0
POR,0.0,0.001,0.002,0.003,0.012,0.03,0.055,0.107,0.176,0.187,0.251,0.161,0.012,0.003,0.0
LAC,0.0,0.0,0.004,0.008,0.022,0.047,0.082,0.145,0.233,0.206,0.17,0.076,0.007,0.0,0.0
CHI,0.0,0.0,0.001,0.003,0.01,0.016,0.025,0.043,0.099,0.199,0.288,0.21,0.089,0.014,0.003
DAL,0.0,0.0,0.001,0.001,0.001,0.007,0.012,0.032,0.057,0.132,0.215,0.444,0.081,0.014,0.003
CHO,0.0,0.0,0.0,0.001,0.003,0.004,0.008,0.014,0.04,0.088,0.207,0.365,0.183,0.057,0.03
BRK,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.006,0.014,0.04,0.074,0.177,0.371,0.202,0.115
IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.014,0.039,0.135,0.266,0.542
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.037,0.224,0.276,0.458
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.011,0.046,0.182,0.45,0.31
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.056,0.427,0.349,0.163
SAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.031,0.235,0.357,0.375
