team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.98,0.019,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEM,0.012,0.328,0.261,0.182,0.103,0.056,0.034,0.016,0.005,0.001,0.002,0.0,0.0,0.0,0.0
HOU,0.004,0.278,0.234,0.2,0.127,0.075,0.037,0.02,0.016,0.005,0.003,0.001,0.0,0.0,0.0
DEN,0.003,0.304,0.268,0.21,0.103,0.047,0.031,0.021,0.009,0.003,0.001,0.0,0.0,0.0,0.0
MIN,0.001,0.022,0.059,0.105,0.143,0.154,0.15,0.134,0.108,0.082,0.026,0.016,0.0,0.0,0.0
DAL,0.0,0.023,0.061,0.12,0.178,0.173,0.138,0.098,0.087,0.061,0.04,0.019,0.002,0.0,0.0
LAC,0.0,0.012,0.036,0.058,0.097,0.122,0.138,0.126,0.118,0.13,0.108,0.047,0.008,0.0,0.0
LAL,0.0,0.006,0.033,0.045,0.087,0.136,0.131,0.144,0.133,0.123,0.098,0.059,0.005,0.0,0.0
SAC,0.0,0.003,0.031,0.037,0.062,0.094,0.138,0.171,0.156,0.107,0.126,0.071,0.004,0.0,0.0
PHO,0.0,0.003,0.013,0.022,0.044,0.065,0.101,0.109,0.166,0.171,0.16,0.136,0.01,0.0,0.0
GSW,0.0,0.002,0.004,0.019,0.045,0.061,0.073,0.12,0.117,0.173,0.213,0.146,0.023,0.004,0.0
SAS,0.0,0.0,0.0,0.002,0.01,0.017,0.029,0.038,0.083,0.137,0.2,0.397,0.073,0.014,0.0
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.004,0.02,0.082,0.562,0.244,0.083
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.015,0.237,0.487,0.255
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.076,0.251,0.662
