team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.95,0.036,0.007,0.005,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,0.503,0.334,0.123,0.03,0.006,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,0.401,0.376,0.183,0.031,0.008,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYK,0.087,0.229,0.419,0.139,0.067,0.036,0.014,0.005,0.003,0.001,0.0,0.0,0.0,0.0,0.0
MEM,0.02,0.287,0.172,0.161,0.104,0.086,0.067,0.049,0.025,0.021,0.005,0.003,0.0,0.0,0.0
DAL,0.01,0.239,0.214,0.149,0.145,0.086,0.062,0.048,0.025,0.013,0.006,0.003,0.0,0.0,0.0
HOU,0.01,0.17,0.165,0.148,0.151,0.102,0.086,0.073,0.042,0.026,0.016,0.01,0.001,0.0,0.0
ORL,0.005,0.018,0.095,0.275,0.216,0.156,0.112,0.072,0.033,0.014,0.003,0.001,0.0,0.0,0.0
LAL,0.004,0.043,0.067,0.108,0.102,0.115,0.118,0.114,0.115,0.094,0.078,0.034,0.008,0.0,0.0
MIL,0.003,0.017,0.062,0.144,0.185,0.166,0.14,0.115,0.082,0.058,0.025,0.003,0.0,0.0,0.0
DEN,0.002,0.105,0.132,0.148,0.125,0.131,0.098,0.078,0.083,0.048,0.037,0.012,0.001,0.0,0.0
MIN,0.002,0.068,0.11,0.123,0.136,0.132,0.122,0.105,0.083,0.06,0.037,0.022,0.0,0.0,0.0
LAC,0.002,0.035,0.062,0.072,0.096,0.123,0.126,0.138,0.132,0.085,0.077,0.046,0.006,0.0,0.0
MIA,0.001,0.01,0.045,0.116,0.154,0.188,0.154,0.13,0.093,0.074,0.028,0.007,0.0,0.0,0.0
IND,0.0,0.013,0.05,0.161,0.172,0.164,0.149,0.132,0.082,0.048,0.022,0.006,0.0,0.001,0.0
PHO,0.0,0.01,0.024,0.031,0.043,0.071,0.094,0.114,0.135,0.168,0.166,0.116,0.025,0.003,0.0
GSW,0.0,0.007,0.027,0.034,0.062,0.086,0.114,0.129,0.135,0.151,0.138,0.103,0.013,0.001,0.0
ATL,0.0,0.001,0.018,0.061,0.088,0.111,0.142,0.167,0.182,0.131,0.072,0.023,0.003,0.001,0.0
PHI,0.0,0.001,0.003,0.026,0.063,0.093,0.142,0.16,0.205,0.176,0.104,0.021,0.006,0.0,0.0
DET,0.0,0.001,0.0,0.004,0.011,0.025,0.049,0.085,0.13,0.205,0.259,0.157,0.051,0.02,0.003
SAS,0.0,0.0,0.011,0.012,0.021,0.038,0.053,0.078,0.104,0.165,0.195,0.258,0.052,0.01,0.003
SAC,0.0,0.0,0.009,0.009,0.014,0.03,0.058,0.073,0.117,0.155,0.224,0.241,0.064,0.006,0.0
CHI,0.0,0.0,0.002,0.013,0.029,0.052,0.092,0.118,0.164,0.204,0.201,0.09,0.027,0.007,0.001
BRK,0.0,0.0,0.0,0.0,0.001,0.005,0.005,0.015,0.021,0.07,0.156,0.342,0.214,0.126,0.045
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.006,0.01,0.043,0.245,0.338,0.356
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.006,0.046,0.127,0.277,0.317,0.224
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.007,0.008,0.082,0.361,0.334,0.206
TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.013,0.071,0.181,0.305,0.255,0.172
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.003,0.027,0.224,0.308,0.435
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.042,0.117,0.273,0.555
