team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.985,0.011,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,0.573,0.345,0.066,0.011,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOS,0.397,0.475,0.108,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYK,0.027,0.127,0.486,0.204,0.092,0.038,0.015,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOU,0.006,0.197,0.173,0.162,0.127,0.11,0.085,0.045,0.041,0.029,0.014,0.011,0.0,0.0,0.0
MEM,0.004,0.306,0.218,0.151,0.101,0.079,0.046,0.04,0.023,0.02,0.009,0.003,0.0,0.0,0.0
DAL,0.003,0.175,0.165,0.163,0.131,0.11,0.069,0.076,0.05,0.027,0.023,0.006,0.002,0.0,0.0
DEN,0.002,0.147,0.158,0.142,0.13,0.115,0.093,0.075,0.058,0.032,0.03,0.017,0.001,0.0,0.0
ORL,0.002,0.024,0.147,0.262,0.218,0.148,0.103,0.046,0.026,0.018,0.006,0.0,0.0,0.0,0.0
IND,0.001,0.015,0.105,0.234,0.221,0.176,0.122,0.069,0.036,0.016,0.005,0.0,0.0,0.0,0.0
LAL,0.0,0.054,0.079,0.103,0.111,0.105,0.118,0.114,0.097,0.093,0.068,0.048,0.007,0.003,0.0
MIN,0.0,0.048,0.072,0.093,0.133,0.122,0.145,0.101,0.1,0.085,0.056,0.04,0.005,0.0,0.0
GSW,0.0,0.021,0.04,0.064,0.064,0.084,0.128,0.118,0.113,0.13,0.12,0.104,0.01,0.003,0.001
LAC,0.0,0.02,0.042,0.057,0.082,0.1,0.092,0.145,0.14,0.129,0.101,0.073,0.017,0.001,0.001
SAC,0.0,0.01,0.018,0.019,0.053,0.075,0.077,0.123,0.138,0.135,0.18,0.157,0.013,0.002,0.0
PHO,0.0,0.009,0.026,0.032,0.047,0.061,0.086,0.111,0.14,0.162,0.159,0.135,0.025,0.005,0.002
MIL,0.0,0.008,0.051,0.158,0.198,0.187,0.139,0.109,0.078,0.052,0.02,0.0,0.0,0.0,0.0
MIA,0.0,0.005,0.023,0.055,0.106,0.15,0.175,0.17,0.134,0.109,0.063,0.009,0.001,0.0,0.0
SAS,0.0,0.002,0.006,0.013,0.021,0.039,0.061,0.052,0.097,0.145,0.216,0.279,0.051,0.016,0.002
PHI,0.0,0.001,0.005,0.012,0.044,0.092,0.109,0.158,0.193,0.204,0.146,0.032,0.003,0.001,0.0
CHI,0.0,0.0,0.004,0.016,0.025,0.071,0.102,0.145,0.168,0.187,0.211,0.055,0.015,0.001,0.0
DET,0.0,0.0,0.003,0.014,0.033,0.054,0.087,0.125,0.173,0.196,0.232,0.072,0.01,0.001,0.0
ATL,0.0,0.0,0.002,0.019,0.055,0.083,0.146,0.159,0.172,0.169,0.146,0.04,0.008,0.001,0.0
BRK,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.007,0.018,0.034,0.112,0.456,0.23,0.104,0.038
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.008,0.024,0.131,0.288,0.308,0.239
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.012,0.042,0.305,0.364,0.269
TOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.007,0.029,0.152,0.285,0.336,0.19
UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.008,0.058,0.336,0.3,0.294
NOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.027,0.228,0.306,0.431
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.053,0.16,0.248,0.533
